,BatchSize,LearningRate,WeightDecay,KernelSize,Pool,Bias,OutActivation,Channels,RMSE
ExpNumber0,70,0.0001,1e-05,3,2,0,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",7.011202
ExpNumber1,100,0.0001,1e-05,3,2,0,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",7.0008497
ExpNumber2,70,0.01,1e-05,3,2,0,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",10.2659855
ExpNumber3,70,0.0001,1e-07,3,2,0,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",6.8099384
ExpNumber4,70,0.0001,1e-05,3,3,0,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",7.4888744
ExpNumber5,70,0.0001,1e-05,3,2,1,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",7.0293345
ExpNumber7,70,0.0001,1e-05,3,2,0,Identity,"[1, 32, 32, 64, 128, 256, 128, 64, 32, 1]",7.0723224
